geoid,name,B01003001,"B01003001, Error"
14000US47001020100,"Census Tract 201, Anderson, TN",3439,588
14000US47001020201,"Census Tract 202.01, Anderson, TN",4468,509
14000US47001020202,"Census Tract 202.02, Anderson, TN",4347,578
14000US47001020300,"Census Tract 203, Anderson, TN",4120,449
14000US47001020400,"Census Tract 204, Anderson, TN",4324,702
14000US47001020500,"Census Tract 205, Anderson, TN",4060,442
14000US47001020600,"Census Tract 206, Anderson, TN",2327,325
14000US47001020700,"Census Tract 207, Anderson, TN",1569,344
14000US47001020800,"Census Tract 208, Anderson, TN",4571,476
14000US47001020901,"Census Tract 209.01, Anderson, TN",5465,519
14000US47001020902,"Census Tract 209.02, Anderson, TN",6513,705
14000US47001021001,"Census Tract 210.01, Anderson, TN",2648,601
14000US47001021002,"Census Tract 210.02, Anderson, TN",3303,573
14000US47001021100,"Census Tract 211, Anderson, TN",4250,634
14000US47001021201,"Census Tract 212.01, Anderson, TN",5210,535
14000US47001021202,"Census Tract 212.02, Anderson, TN",5359,548
14000US47001021301,"Census Tract 213.01, Anderson, TN",3516,396
14000US47001021303,"Census Tract 213.03, Anderson, TN",3972,553
14000US47001021304,"Census Tract 213.04, Anderson, TN",3222,519
14000US47001980100,"Census Tract 9801, Anderson, TN",0,13
14000US47003950100,"Census Tract 9501, Bedford, TN",4593,485
14000US47003950201,"Census Tract 9502.01, Bedford, TN",3426,486
14000US47003950202,"Census Tract 9502.02, Bedford, TN",3990,555
14000US47003950300,"Census Tract 9503, Bedford, TN",3293,512
14000US47003950401,"Census Tract 9504.01, Bedford, TN",6161,728
14000US47003950402,"Census Tract 9504.02, Bedford, TN",7329,753
14000US47003950500,"Census Tract 9505, Bedford, TN",7095,847
14000US47003950600,"Census Tract 9506, Bedford, TN",7490,756
14000US47003950700,"Census Tract 9507, Bedford, TN",3293,338
14000US47003950800,"Census Tract 9508, Bedford, TN",3084,405
14000US47005963000,"Census Tract 9630, Benton, TN",3129,302
14000US47005963100,"Census Tract 9631, Benton, TN",2988,381
14000US47005963200,"Census Tract 9632, Benton, TN",2035,322
14000US47005963300,"Census Tract 9633, Benton, TN",3656,121
14000US47005963400,"Census Tract 9634, Benton, TN",4064,456
14000US47007953000,"Census Tract 9530, Bledsoe, TN",4107,499
14000US47007953101,"Census Tract 9531.01, Bledsoe, TN",1874,397
14000US47007953102,"Census Tract 9531.02, Bledsoe, TN",4139,494
14000US47007953200,"Census Tract 9532, Bledsoe, TN",4743,691
14000US47009010100,"Census Tract 101, Blount, TN",2960,446
14000US47009010200,"Census Tract 102, Blount, TN",7139,821
14000US47009010301,"Census Tract 103.01, Blount, TN",6449,1187
14000US47009010302,"Census Tract 103.02, Blount, TN",3641,409
14000US47009010400,"Census Tract 104, Blount, TN",3521,539
14000US47009010500,"Census Tract 105, Blount, TN",2655,409
14000US47009010600,"Census Tract 106, Blount, TN",4327,558
14000US47009010700,"Census Tract 107, Blount, TN",5152,604
14000US47009010800,"Census Tract 108, Blount, TN",3101,442
14000US47009010900,"Census Tract 109, Blount, TN",6000,702
14000US47009011001,"Census Tract 110.01, Blount, TN",6424,818
14000US47009011002,"Census Tract 110.02, Blount, TN",4328,491
14000US47009011101,"Census Tract 111.01, Blount, TN",5449,443
14000US47009011102,"Census Tract 111.02, Blount, TN",9076,860
14000US47009011201,"Census Tract 112.01, Blount, TN",5200,674
14000US47009011202,"Census Tract 112.02, Blount, TN",4292,997
14000US47009011301,"Census Tract 113.01, Blount, TN",6165,830
14000US47009011302,"Census Tract 113.02, Blount, TN",6503,1167
14000US47009011401,"Census Tract 114.01, Blount, TN",1710,363
14000US47009011403,"Census Tract 114.03, Blount, TN",2212,285
14000US47009011404,"Census Tract 114.04, Blount, TN",2151,364
14000US47009011501,"Census Tract 115.01, Blount, TN",1662,176
14000US47009011502,"Census Tract 115.02, Blount, TN",3977,366
14000US47009011503,"Census Tract 115.03, Blount, TN",6938,1095
14000US47009011603,"Census Tract 116.03, Blount, TN",5198,569
14000US47009011604,"Census Tract 116.04, Blount, TN",4349,473
14000US47009011605,"Census Tract 116.05, Blount, TN",3467,334
14000US47009011606,"Census Tract 116.06, Blount, TN",6117,1154
14000US47009011607,"Census Tract 116.07, Blount, TN",3862,534
14000US47009980100,"Census Tract 9801, Blount, TN",5,8
14000US47009980200,"Census Tract 9802, Blount, TN",12,13
14000US47011010100,"Census Tract 101, Bradley, TN",5261,733
14000US47011010201,"Census Tract 102.01, Bradley, TN",2818,570
14000US47011010202,"Census Tract 102.02, Bradley, TN",2668,297
14000US47011010300,"Census Tract 103, Bradley, TN",3725,515
14000US47011010400,"Census Tract 104, Bradley, TN",2996,561
14000US47011010500,"Census Tract 105, Bradley, TN",3780,444
14000US47011010600,"Census Tract 106, Bradley, TN",3933,538
14000US47011010700,"Census Tract 107, Bradley, TN",5137,674
14000US47011010800,"Census Tract 108, Bradley, TN",3200,695
14000US47011010900,"Census Tract 109, Bradley, TN",2912,493
14000US47011011000,"Census Tract 110, Bradley, TN",5618,867
14000US47011011101,"Census Tract 111.01, Bradley, TN",6462,1129
14000US47011011102,"Census Tract 111.02, Bradley, TN",2963,440
14000US47011011201,"Census Tract 112.01, Bradley, TN",6183,693
14000US47011011203,"Census Tract 112.03, Bradley, TN",5227,1015
14000US47011011204,"Census Tract 112.04, Bradley, TN",5926,656
14000US47011011301,"Census Tract 113.01, Bradley, TN",5896,744
14000US47011011302,"Census Tract 113.02, Bradley, TN",2588,397
14000US47011011402,"Census Tract 114.02, Bradley, TN",3305,598
14000US47011011403,"Census Tract 114.03, Bradley, TN",4184,414
14000US47011011404,"Census Tract 114.04, Bradley, TN",4000,480
14000US47011011501,"Census Tract 115.01, Bradley, TN",5704,676
14000US47011011502,"Census Tract 115.02, Bradley, TN",4174,497
14000US47011011601,"Census Tract 116.01, Bradley, TN",4500,464
14000US47011011602,"Census Tract 116.02, Bradley, TN",4685,565
14000US47013950100,"Census Tract 9501, Campbell, TN",3273,670
14000US47013950200,"Census Tract 9502, Campbell, TN",2277,349
14000US47013950300,"Census Tract 9503, Campbell, TN",1987,344
14000US47013950400,"Census Tract 9504, Campbell, TN",4692,679
14000US47013950500,"Census Tract 9505, Campbell, TN",4971,565
14000US47013950601,"Census Tract 9506.01, Campbell, TN",2143,435
14000US47013950602,"Census Tract 9506.02, Campbell, TN",2356,361
14000US47013950701,"Census Tract 9507.01, Campbell, TN",1803,322
14000US47013950702,"Census Tract 9507.02, Campbell, TN",3143,524
14000US47013950800,"Census Tract 9508, Campbell, TN",2367,475
14000US47013950900,"Census Tract 9509, Campbell, TN",2858,518
14000US47013951000,"Census Tract 9510, Campbell, TN",2173,366
14000US47013951100,"Census Tract 9511, Campbell, TN",5345,707
14000US47015960100,"Census Tract 9601, Cannon, TN",4081,423
14000US47015960201,"Census Tract 9602.01, Cannon, TN",2187,272
14000US47015960202,"Census Tract 9602.02, Cannon, TN",4182,414
14000US47015960300,"Census Tract 9603, Cannon, TN",3859,416
14000US47017962000,"Census Tract 9620, Carroll, TN",4234,405
14000US47017962101,"Census Tract 9621.01, Carroll, TN",2809,388
14000US47017962102,"Census Tract 9621.02, Carroll, TN",3615,447
14000US47017962201,"Census Tract 9622.01, Carroll, TN",3351,363
14000US47017962202,"Census Tract 9622.02, Carroll, TN",4571,438
14000US47017962300,"Census Tract 9623, Carroll, TN",4568,507
14000US47017962400,"Census Tract 9624, Carroll, TN",2618,412
14000US47017962500,"Census Tract 9625, Carroll, TN",2604,375
14000US47017980100,"Census Tract 9801, Carroll, TN",0,13
14000US47019070100,"Census Tract 701, Carter, TN",2042,237
14000US47019070200,"Census Tract 702, Carter, TN",3851,364
14000US47019070300,"Census Tract 703, Carter, TN",5475,743
14000US47019070400,"Census Tract 704, Carter, TN",2122,359
14000US47019070500,"Census Tract 705, Carter, TN",3835,330
14000US47019070600,"Census Tract 706, Carter, TN",2559,394
14000US47019070700,"Census Tract 707, Carter, TN",3640,494
14000US47019070800,"Census Tract 708, Carter, TN",2858,390
14000US47019070900,"Census Tract 709, Carter, TN",3670,463
14000US47019071000,"Census Tract 710, Carter, TN",2362,318
14000US47019071100,"Census Tract 711, Carter, TN",1869,268
14000US47019071200,"Census Tract 712, Carter, TN",3677,355
14000US47019071301,"Census Tract 713.01, Carter, TN",3774,591
14000US47019071302,"Census Tract 713.02, Carter, TN",3664,575
14000US47019071400,"Census Tract 714, Carter, TN",3579,422
14000US47019071500,"Census Tract 715, Carter, TN",2173,510
14000US47019071600,"Census Tract 716, Carter, TN",1504,310
14000US47019071700,"Census Tract 717, Carter, TN",3660,509
14000US47021070102,"Census Tract 701.02, Cheatham, TN",4052,549
14000US47021070103,"Census Tract 701.03, Cheatham, TN",3587,478
14000US47021070104,"Census Tract 701.04, Cheatham, TN",5962,643
14000US47021070201,"Census Tract 702.01, Cheatham, TN",4823,26
14000US47021070202,"Census Tract 702.02, Cheatham, TN",5396,688
14000US47021070203,"Census Tract 702.03, Cheatham, TN",3718,435
14000US47021070300,"Census Tract 703, Cheatham, TN",4066,367
14000US47021070401,"Census Tract 704.01, Cheatham, TN",2614,322
14000US47021070402,"Census Tract 704.02, Cheatham, TN",6660,398
14000US47023970101,"Census Tract 9701.01, Chester, TN",2790,349
14000US47023970102,"Census Tract 9701.02, Chester, TN",3261,416
14000US47023970200,"Census Tract 9702, Chester, TN",5755,383
14000US47023970301,"Census Tract 9703.01, Chester, TN",1487,178
14000US47023970302,"Census Tract 9703.02, Chester, TN",3985,524
14000US47025970100,"Census Tract 9701, Claiborne, TN",2673,406
14000US47025970200,"Census Tract 9702, Claiborne, TN",2475,359
14000US47025970300,"Census Tract 9703, Claiborne, TN",4182,467
14000US47025970400,"Census Tract 9704, Claiborne, TN",764,165
14000US47025970500,"Census Tract 9705, Claiborne, TN",2673,431
14000US47025970600,"Census Tract 9706, Claiborne, TN",4664,621
14000US47025970700,"Census Tract 9707, Claiborne, TN",6307,600
14000US47025970800,"Census Tract 9708, Claiborne, TN",3473,402
14000US47025970900,"Census Tract 9709, Claiborne, TN",4747,772
14000US47027955000,"Census Tract 9550, Clay, TN",4983,294
14000US47027955100,"Census Tract 9551, Clay, TN",2585,294
14000US47029920100,"Census Tract 9201, Cocke, TN",3939,582
14000US47029920200,"Census Tract 9202, Cocke, TN",5536,730
14000US47029920300,"Census Tract 9203, Cocke, TN",4520,586
14000US47029920400,"Census Tract 9204, Cocke, TN",2222,365
14000US47029920501,"Census Tract 9205.01, Cocke, TN",5913,824
14000US47029920502,"Census Tract 9205.02, Cocke, TN",5437,499
14000US47029920600,"Census Tract 9206, Cocke, TN",4309,574
